A;B;C;D
Attribute set not found: %1;Grupa atributa nije pronađena: %1;module;Magento_Eav
"Attribute ""%1"" not found in attribute set %2.";"Svojstvo ""%1"" nije pronađeno u grupi atributa %2.";module;Magento_Eav
System attribute can not be deleted;Sistem atributa ne može biti obrisan;module;Magento_Eav
Cannot save attribute;Nismo u mogućnosti spremiti atribut;module;Magento_Eav
"Attribute with attributeCode ""%1"" does not exist.";"Atribut s kodom svojstva ""%1"" ne postoji.";module;Magento_Eav
Cannot delete attribute.;Nismo u mogućnosti obrisati atribut.;module;Magento_Eav
"Attribute with id ""%1"" does not exist.";"Atribut s id-em ""%1"" ne postoji.";module;Magento_Eav
There was an error saving attribute set.;Dogodila se greška prilikom spremanja grupe atributa.;module;Magento_Eav
Default attribute set can not be deleted;Zadati set atributa ne može biti obrisan;module;Magento_Eav
There was an error deleting attribute set.;Dogodila se greška prilikom brisanja grupe atributa;module;Magento_Eav
Invalid entity_type specified: %1;Navedena je pogrešna vrsta entiteta: %1;module;Magento_Eav
Entity is not initialized;Subjekt nije poništen;module;Magento_Eav
Unknown parameter;Nepoznati parametri;module;Magento_Eav
The attribute code '%1' is reserved by system. Please try another attribute code;Kod atributa '%1' je rezervisan od strane sistema. Molimo pokušajte s drugim kodom atributa.;module;Magento_Eav
An attribute code must not be more than %1 characters.;Kod atributa ne sme imati više od %1 znakova.;module;Magento_Eav
Invalid default decimal value;Zadata decimalna vrednost nije valjana;module;Magento_Eav
Invalid default date;Zadati datum nije valjan;module;Magento_Eav
Invalid entity supplied;Pogrešna isporuka subjekta;module;Magento_Eav
Invalid backend model specified: %1;Pogrešno navedena pozadina modela: %1;module;Magento_Eav
"Source model ""%1"" not found for attribute ""%2""";"Izvor modela ""%1"" nije pronađena za atribut ""%2""";module;Magento_Eav
"The value of attribute ""%1"" must be set";"vrednost atributa""%1"" mora biti postavljena";module;Magento_Eav
"The value of attribute ""%1"" must be unique";"vrednost atributa ""%1"" mora biti jedinstvena";module;Magento_Eav
Invalid date;Datum nije valjan;module;Magento_Eav
Empty attribute code;Očistite kod atributa;module;Magento_Eav
Attribute %1 doesn't work with options;Atribut %1 ne radi s mogućnostima;module;Magento_Eav
Cannot save attribute %1;Nismo u mogućnosti spremiti atribut %1;module;Magento_Eav
Attribute %1 doesn't have any option;Atribut %1 nema nikakve mogućnosti;module;Magento_Eav
Cannot load options for attribute %1;Ne mogu se učitati opcije za atribut %1;module;Magento_Eav
Attribute %1 does not contain option with Id %2;Atribut %1 ne sadrži mogućnosti s Id-em %2;module;Magento_Eav
"Entity attribute with id ""%1"" not found";"Subjekt atributa s id-em ""%1"" nije pronađen";module;Magento_Eav
Attribute set name is empty.;Naziv grupe atributa je prazan.;module;Magento_Eav
"An attribute set named ""%1"" already exists.";"Naziv grupe atributa ""%1"" već postoji.";module;Magento_Eav
No options found.;Nisu pronađene mogućnosti.;module;Magento_Eav
label;oznaka;module;Magento_Eav
Invalid entity supplied: %1;Nabavljen je nevažeći entitet: %1;module;Magento_Eav
Attempt to add an invalid object;Pokušali ste dodati objekt koji nije valjan;module;Magento_Eav
Invalid attribute identifier for filter (%1);Identifikator atributa za filtere nije valjan (%1);module;Magento_Eav
Invalid attribute requested: %1;Zahtjev za atribut nije valjan: %1;module;Magento_Eav
Joint field or attribute expression with this alias is already declared;Zajedničko polje ili izraz atributa s ovim pseudonimom je već izraženo;module;Magento_Eav
Invalid alias, already exists in joint attributes;Pseudonim nije valjan, već postoji u zajedničkim atributima.;module;Magento_Eav
Invalid foreign key;Strani ključ nije valjan;module;Magento_Eav
Invalid entity type;Vrsta subjekta nije valjana;module;Magento_Eav
Invalid attribute type;Vrsta atributa nije valjana;module;Magento_Eav
A joined field with this alias is already declared.;Zajedničko polje s ovim pseudonimam je već izraženo;module;Magento_Eav
Invalid joint fields;Zajednička polja nisu valjana;module;Magento_Eav
A joint field with this alias (%1) is already declared.;Zajedničko polje s pseudonimom (%1) je već izraženo.;module;Magento_Eav
Data integrity: No header row found for attribute;Integritet podataka: Nijedan red zaglavlja nije pronađen za atribut;module;Magento_Eav
Invalid attribute name: %1;Naziv atributa nije valjan: %1;module;Magento_Eav
Invalid character encountered in increment ID: %1;Nevažeći znakovi susreli su se u povećanju ID-a: %1;module;Magento_Eav
The current module pathname is undefined.;Trenutni modul naziva putanje je nedefinisan.;module;Magento_Eav
The current module EAV entity is undefined.;Trenutni modul EAV subjekta je nedefiniran.;module;Magento_Eav
The form code is not defined.;Forma koda nije definisana.;module;Magento_Eav
The entity instance is not defined.;Primerak subjekta nije definisan.;module;Magento_Eav
Invalid form type.;Vrsta forme nije valjana.;module;Magento_Eav
Invalid EAV attribute;EAV atribut nije valjan;module;Magento_Eav
Attribute with the same code;Atribut s jednakim kodom;module;Magento_Eav
The storefront label is not defined.;Izložbena oznaka nije definisana;module;Magento_Eav
Default option value is not defined;Zadana opcija vrednosti nije definirana;module;Magento_Eav
Form Element with the same attribute;Forma elemenata sa jednakim atributom;module;Magento_Eav
Form Fieldset with the same code;Forma polja za upisivanje s jednakim kodom;module;Magento_Eav
Form Type with the same code;Vrsta forme s jednakim kodom;module;Magento_Eav
"The value of attribute ""%1"" is invalid.";"Vrsta atributa ""%1"" nije valjana";module;Magento_Eav
Wrong entity ID;Pogrešan ID subjekta;module;Magento_Eav
Wrong attribute set ID;Pogrešan set ID atributa;module;Magento_Eav
Wrong attribute group ID;Pogrešna gupa ID atributa;module;Magento_Eav
AttributeSet does not exist.;Grupa atributa ne postoji;module;Magento_Eav
hello;pozdrav;module;Magento_Eav
Some internal exception message.;Interni izuzetci poruka.;module;Magento_Eav
The value of attribute not valid;vrednost atributa nije valjana;module;Magento_Eav
We were unable to perform the search because of a search engine misconfiguration.;Nije moguće pretraživati zbog loše konfiguracije pretrage.;module;Magento_Elasticsearch
Could not ping search engine: %1;Nije moguće pingovati pretragu: %1;module;Magento_Elasticsearch
Add New Template;Dodajte novi šablon;module;Magento_Email
Transactional Emails;Transakcijski e-mail;module;Magento_Email
Back;Povratak;module;Magento_Email
Reset;Reset;module;Magento_Email
Delete Template;Obrišite šablon;module;Magento_Email
Convert to Plain Text;Pretvori u običan tekst;module;Magento_Email
Return Html Version;Vratite u Html verziju;module;Magento_Email
Preview Template;Pregledajte šablon;module;Magento_Email
Save Template;Spremite šablon;module;Magento_Email
Load Template;Učitajte šablon;module;Magento_Email
Edit Email Template;Uredite e-mail šablon;module;Magento_Email
New Email Template;Novi e-mail šablon;module;Magento_Email
Default Config;Zadata konfiguracija;module;Magento_Email
Template Information;Podaci o šablonu;module;Magento_Email
Currently Used For;Trenutno se koristi za;module;Magento_Email
Template Name;Naziv šablona;module;Magento_Email
Template Subject;Predmet šablona;module;Magento_Email
Insert Variable...;Unesite varijabli...;module;Magento_Email
Template Content;Sadržaj šablona;module;Magento_Email
Template Styles;Stil šablona;module;Magento_Email
Preview;Pregledajte;module;Magento_Email
Unknown;Nepoznato;module;Magento_Email
You deleted the email template.;Obrisali ste e-mail šablon.;module;Magento_Email
The email template is currently being used.;Ovaj se e-mail šablon već koristi.;module;Magento_Email
We can't delete email template data right now. Please review log and try again.;Trenutno ne možete obrisati informacije šablona za e-mail.;module;Magento_Email
We can't find an email template to delete.;Ne možemo pronaći e-mail šablon za brisanje.;module;Magento_Email
Edit Template;Uredite šablon;module;Magento_Email
Edit System Template;Uredite sistemski šablon;module;Magento_Email
New Template;Novi šablon;module;Magento_Email
New System Template;Novi sistemski šablon;module;Magento_Email
Email Templates;e-mail šabloni;module;Magento_Email
Email Preview;e-mail pregled;module;Magento_Email
An error occurred. The email template can not be opened for preview.;Dogodila se greška. Ne može se pregledati e-mail šablon.;module;Magento_Email
This email template no longer exists.;e-mail template ne postoji.;module;Magento_Email
You saved the email template.;Spremili ste e-mail šablon.;module;Magento_Email
Area is already set;Područje je već postavljeno;module;Magento_Email
Design config must have area and store.;Konfiguracija dizajna mora imati područje i prodavnicu.;module;Magento_Email
Base Unsecure URL;Nesigurna osnova URL-a;module;Magento_Email
Base Secure URL;Sigurna osnova URL-a;module;Magento_Email
General Contact Name;Opšte ima kontakta;module;Magento_Email
General Contact Email;Opšti e-mail kontakta;module;Magento_Email
Sales Representative Contact Name;Kontakt ime prodajnog predstavnika;module;Magento_Email
Sales Representative Contact Email;Kontakt e-mail prodajnog predstavnika;module;Magento_Email
Custom1 Contact Name;Proizvoljno ime kontakta;module;Magento_Email
Custom1 Contact Email;Proizvoljni1 e-mail kontakta;module;Magento_Email
Custom2 Contact Name;Proizvoljno2 ime kontakta;module;Magento_Email
Custom2 Contact Email;Proizvoljni2 e-mail kontakta;module;Magento_Email
Store Name;Naziv prodavnice;module;Magento_Email
Store Phone Number;Telefonski broj prodavnice;module;Magento_Email
Store Hours;Radno vreme prodavnice;module;Magento_Email
Country;Država;module;Magento_Email
Region/State;Region;module;Magento_Email
Zip/Postal Code;Poštanski broj;module;Magento_Email
City;Grad;module;Magento_Email
Street Address 1;Adresa 1;module;Magento_Email
Street Address 2;Adresa 2;module;Magento_Email
Store Contact Information;Kontakt podaci prodavnice;module;Magento_Email
%1;%1;module;Magento_Email
Template Variables;Varijable šablona;module;Magento_Email
Please enter a template name.;Upišite naziv šablona.;module;Magento_Email
Duplicate Of Template Name;Duplicirajte naziv šablona;module;Magento_Email
Invalid transactional email code: %1;Pogrešan kod transakcijskog e-maila: %1;module;Magento_Email
"Requested invalid store ""%1""";"Zatraži pogrešnu prodavnicu ""%1""";module;Magento_Email
"""file"" parameter must be specified";"parametar ""datoteke"" mora biti određen";module;Magento_Email
Contents of %s could not be loaded or is empty;Sadržaj od %s nije moguće učitati ili je prazan;module;Magento_Email
"""file"" parameter must be specified and must not be empty";"parametar ""datoteke"" mora biti određen i ne sme biti prazan";module;Magento_Email
Design params must be set before calling this method;Paramteri dizajna moraju biti postavljeni pre pozivanja metode;module;Magento_Email
<pre> %1 </pre>;<pre> %1 </pre>;module;Magento_Email
CSS inlining error:;CSS greška u kodu:;module;Magento_Email
Error filtering template: %s;greška kod filtriranja šablona: %s;module;Magento_Email
We're sorry, an error has occurred while generating this email.;Dogodila se greška prilikom generiranja e-maila.;module;Magento_Email
Invalid sender data;Pogrešni podaci pošiljaoca;module;Magento_Email
Title;Naslov;module;Magento_Email
Load default template;Učitaj zadani šablon;module;Magento_Email
Template;Šablon;module;Magento_Email
Are you sure you want to strip tags?;Jeste li sigurni da želite ukloniti oznake;module;Magento_Email
Are you sure you want to delete this template?;Jeste li sigurni da želite ukloniti šablon;module;Magento_Email
The template did not load. Please review the log for details.;Šablon nije učitan. Pogledajte belešku radi detalja.;module;Magento_Email
Change Encryption Key;Promjena ključa za šifriranje;module;Magento_EncryptionKey
Encryption Key;Ključ za šifriranje;module;Magento_EncryptionKey
New Encryption Key;Novi ključ za šifriranje;module;Magento_EncryptionKey
The encryption key is used to protect passwords and other sensitive data.;Ključ za šifriranje se koristi za zaštitu lozinke i druge osetljive podatke.;module;Magento_EncryptionKey
Auto-generate a Key;Automatsko generisanje ključa;module;Magento_EncryptionKey
No;Ne;module;Magento_EncryptionKey
Yes;Da;module;Magento_EncryptionKey
The generated key will be displayed after changing.;Stvoreni ključ će biti prikazan nakon promene.;module;Magento_EncryptionKey
New Key;Novi ključ;module;Magento_EncryptionKey
Deployment configuration file is not writable.;Implementacija konfiguracijske datoteka ne može biti napisana.;module;Magento_EncryptionKey
Please enter an encryption key.;Unesite ključ za šifriranje.;module;Magento_EncryptionKey
The encryption key has been changed.;Ključ za šifriranje je promenjen.;module;Magento_EncryptionKey
This is your new encryption key: %1. Be sure to write it down and take good care of it!;Ovo je vaš novi ključ za šifriranje: %1. Svakako ga zapišite i vodite brigu o njemu!;module;Magento_EncryptionKey
Payment Type;Vrsta naplate;module;Magento_Eway
Transaction Type;Vrsta transakcije;module;Magento_Eway
Transaction ID;ID transakcije;module;Magento_Eway
BeagleScore;BeagleScore;module;Magento_Eway
CVV Verification;Provera CVV;module;Magento_Eway
Address Verification;Provera adrese;module;Magento_Eway
Email Verification;Provera e-maila;module;Magento_Eway
Mobile Verification;Provera broja mobilnog telefona;module;Magento_Eway
Phone Verification;Provera broja fiksnog telefona;module;Magento_Eway
Card number;Broj kreditne kartice;module;Magento_Eway
Expiration Date;Datum isteka kreditne kartice;module;Magento_Eway
Response Code;Kod odgovora;module;Magento_Eway
Fraud Message;Obmana poruka;module;Magento_Eway
Approve Message;Dozvoljena poruka;module;Magento_Eway
Sorry, but something went wrong;Dogodila se greška;module;Magento_Eway
Wrong response type;Pogrešna vrsta odgovora;module;Magento_Eway
Transaction has been declined. Please try again later.;Transakcija odbijena. Pokušajte ponovno.;module;Magento_Eway
Authorize Only;Samo autorizirovano;module;Magento_Eway
Authorize and Capture;Autorizujte i uhvatite;module;Magento_Eway
Credit Card Type;Vrsta kreditne kartice;module;Magento_Eway
Credit Card Number;Broj kreditne kartice;module;Magento_Eway
Card Verification Number;Verifikacioni broj kreditne kartice;module;Magento_Eway
Europe First Priority;Prioritet Europa;module;Magento_Fedex
1 Day Freight;Dostava za 1 dan;module;Magento_Fedex
2 Day Freight;Dostava za 2 dana;module;Magento_Fedex
2 Day;2 dana;module;Magento_Fedex
2 Day AM;2 dana AM;module;Magento_Fedex
3 Day Freight;3 dana dostave;module;Magento_Fedex
Express Saver;Express Saver;module;Magento_Fedex
Ground;Zemljani;module;Magento_Fedex
First Overnight;Prvo noćenje;module;Magento_Fedex
Home Delivery;Kućna dostava;module;Magento_Fedex
International Economy;Međunarodna ekonomija;module;Magento_Fedex
Intl Economy Freight;Međunarodna ekonomična dostava;module;Magento_Fedex
International First;Prvo međunarodno;module;Magento_Fedex
International Ground;Međunarodno polje;module;Magento_Fedex
International Priority;Međunarodni prioritet;module;Magento_Fedex
Intl Priority Freight;Međunarodni prioritet dostave;module;Magento_Fedex
Priority Overnight;Prioritet preko noći;module;Magento_Fedex
Smart Post;Smart Post;module;Magento_Fedex
Standard Overnight;Standardno preko noći;module;Magento_Fedex
Freight;Dostava;module;Magento_Fedex
National Freight;Nacionalna dostava;module;Magento_Fedex
Regular Pickup;Regularno preuzimanje;module;Magento_Fedex
Request Courier;Zatražite dostavljača;module;Magento_Fedex
Drop Box;Drop Box;module;Magento_Fedex
Business Service Center;Poslovni centar;module;Magento_Fedex
Station;Stanica;module;Magento_Fedex
FedEx Envelope;FedEx pakovanje;module;Magento_Fedex
FedEx Pak;FedEx Pak;module;Magento_Fedex
FedEx Box;FedEx kutija;module;Magento_Fedex
FedEx Tube;FedEx tuba;module;Magento_Fedex
FedEx 10kg Box;FedEx 10kg kutija;module;Magento_Fedex
FedEx 25kg Box;FedEx 25kg kutija;module;Magento_Fedex
Your Packaging;Vlastito pakovanje;module;Magento_Fedex
Not Required;Nije potrebno;module;Magento_Fedex
Adult;Odraslo;module;Magento_Fedex
Direct;Direktno;module;Magento_Fedex
Indirect;Indirektno;module;Magento_Fedex
Pounds;Funti;module;Magento_Fedex
Kilograms;Kilograma;module;Magento_Fedex
For some reason we can't retrieve tracking info right now.;Ne možemo pratiti pošiljku iz nepoznatog razloga.;module;Magento_Fedex
status;status;module;Magento_Fedex
Empty response;Prazan odgovor;module;Magento_Fedex
None;Nijedan;module;Magento_Fedex
Gift Wrapping;Pakovanje poklona;module;Magento_GiftWrapping
Add Gift Wrapping;Dodajte pakovanje poklona;module;Magento_GiftWrapping
Save and Continue Edit;Spremite i nastavite uređivanje;module;Magento_GiftWrapping
Are you sure you want to delete this gift wrapping?;Jeste li sigurno da želite ukloniti pakovanje poklona?;module;Magento_GiftWrapping
"Edit Gift Wrapping ""%1""";"Uredite pakovanje poklona ""%1""";module;Magento_GiftWrapping
New Gift Wrapping;Novo pakovanje poklona;module;Magento_GiftWrapping
Gift Wrapping Information;Informacije o pakovanju poklona;module;Magento_GiftWrapping
Gift Wrapping Design;Izgled pakovanja poklona;module;Magento_GiftWrapping
Websites;Web stranice;module;Magento_GiftWrapping
Status;Status;module;Magento_GiftWrapping
Enabled;Omogućeno;module;Magento_GiftWrapping
Disabled;Nije omogućeno;module;Magento_GiftWrapping
Price;Cena;module;Magento_GiftWrapping
Image;Slika;module;Magento_GiftWrapping
[GLOBAL];[GLOBALNO];module;Magento_GiftWrapping
[WEBSITE];[WEB STRANICA];module;Magento_GiftWrapping
[STORE VIEW];[NASLOVNA];module;Magento_GiftWrapping
Please request the correct gift wrapping.;Zatražite tačno pakovanje poklona.;module;Magento_GiftWrapping
You updated a total of %1 records.;Ažurirali ste %1 zapisa.;module;Magento_GiftWrapping
Something went wrong while updating the wrapping(s) status.;Dogodila se greška prilikom ažuriranja statusa pakovanja.;module;Magento_GiftWrapping
You deleted the gift wrapping.;Uklonili ste pakovanje poklona.;module;Magento_GiftWrapping
%1;%1;module;Magento_GiftWrapping
Please select items.;Odaberite proizvode.;module;Magento_GiftWrapping
You deleted a total of %1 records.;Uklonili ste %1 zapisa.;module;Magento_GiftWrapping
You have not uploaded the image.;Niste preneli sliku.;module;Magento_GiftWrapping
You saved the gift wrapping.;Spremili ste pakovanje poklona;module;Magento_GiftWrapping
We can't save the gift wrapping right now.;Trenutno nije moguće spremiti pakovanje poklona.;module;Magento_GiftWrapping
We can't update the image right now.;Trenutno nije moguće ažuriranje slike.;module;Magento_GiftWrapping
Please select;Odaberite;module;Magento_GiftWrapping
Excluding Tax;Bez poreza;module;Magento_GiftWrapping
Including Tax;Uključujući porez;module;Magento_GiftWrapping
Including and Excluding Tax;Uključujući porez i bez poreza;module;Magento_GiftWrapping
None;Nijedan;module;Magento_GiftWrapping
The image content must be valid data.;Sadržaj slike mora biti valjan.;module;Magento_GiftWrapping
"The image extension ""%1"" not allowed.";"Ekstenzija slike ""%1"" nije podržana.";module;Magento_GiftWrapping
Provided image name contains forbidden characters.;Slika se sastoji od zabranjenih znakova.;module;Magento_GiftWrapping
The image MIME type is not valid or not supported.;MIME vrsta slike nije valjana ili nije podržana.;module;Magento_GiftWrapping
"Gift Wrapping with specified ID ""%1"" not found.";"Pakovanje poklona sa ID ""%1"" nije pronađeno.";module;Magento_GiftWrapping
Please enter valid currency code: %1;Unesite valjani kod valute: %1;module;Magento_GiftWrapping
Unable to remove gift wrapping %1;Nije moguće ukloniti pakovanje poklona %1;module;Magento_GiftWrapping
Printed Card;Ispisana kartica;module;Magento_GiftWrapping
Use Config Settings;Koristite konfigurisana podešavanja;module;Magento_GiftWrapping
Use Default Value;Koristite zadate vrednosti;module;Magento_GiftWrapping
Leave a box blank if you don't want to add gift wrapping for whole order.;Ostavite polje prazno ukoliko ne želite pakovanje poklona za celu narudžbinu .;module;Magento_GiftWrapping
Price Excl. Tax;Cena bez poreza;module;Magento_GiftWrapping
Price Incl. Tax;Cena uključujući porez;module;Magento_GiftWrapping
Send Gift Receipt;Pošaljite račun poklona;module;Magento_GiftWrapping
Add Printed Card;Dodajte ispisanu karticu;module;Magento_GiftWrapping
Gift Wrapping for the Entire Order;Pakovanje poklona za celu narudžbinu ;module;Magento_GiftWrapping
Other Gift Options;Ostale poklon mogućnosti;module;Magento_GiftWrapping
Excl. Tax;Bez poreza;module;Magento_GiftWrapping
Incl. Tax;Uključujući porez;module;Magento_GiftWrapping
Custom Price;Proizvoljna cijena;module;Magento_GiftWrapping
Preview;Pregledajte;module;Magento_GiftWrapping
Dynamic;Dinamično;module;Magento_GoogleAdwords
Constant;Stalno;module;Magento_GoogleAdwords
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.";"vrednost boje u koju želite pretvoriti nije valjana ""%1"". Koristite heksadecimalne 6-digitalne vrednosti.";module;Magento_GoogleAdwords
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.";"vrednost ID konverzije nije valjana ""%1"". ID konverzija bi trebao biti integer.";module;Magento_GoogleAdwords
Product View Optimization;Optimizacija pogleda proizvoda;module;Magento_GoogleOptimizer
Page View Optimization;Optimizacija pogleda na stranicu;module;Magento_GoogleOptimizer
Data key is missing: %1;Nedostaje ključni podatak: %1;module;Magento_GoogleOptimizer
Google Analytics Content Experiments Code;Sadržaj za Google analytics kod;module;Magento_GoogleOptimizer
Experiment Code;Eksperimentalni kod;module;Magento_GoogleOptimizer
Experiment code should be added to the original page only.;Eksperimentalni kod bi se trebao dodati samo na originalnu tranicu.;module;Magento_GoogleOptimizer
Google Analytics Enhanced Ecommerce Settings;Napredne podešavanja e-trgovine Googlea Analyticsa;module;Magento_GoogleTagManager
Send to Google;Pošaljite Googleu;module;Magento_GoogleTagManager
Yes;Da;module;Magento_GoogleTagManager
No;Ne;module;Magento_GoogleTagManager
Creative;Kreativno;module;Magento_GoogleTagManager
Universal Analytics;Universal Analytics;module;Magento_GoogleTagManager
Google Tag Manager;Google Tag Manager;module;Magento_GoogleTagManager
Grouped Products;Grupisani proizvodi;module;Magento_GroupedProduct
Please specify the quantity of product(s).;Odaberite količinu proizvoda.;module;Magento_GroupedProduct
Cannot process the item.;Nije moguće obraditi proizvod.;module;Magento_GroupedProduct
Add Products to Group;Dodajte proizvode u grupu;module;Magento_GroupedProduct
Cancel;Otkažite;module;Magento_GroupedProduct
Add Selected Products;Dodajte označene proizvode;module;Magento_GroupedProduct
A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.;Proizvod u grupi se sastoje od više samostalnih proizvoda koji se prezentiraju kao grupa. Možete pronaći različite varijacije pojedinog proizvoda ili ih grupisati prema sezoni ili temi kako bi stvorili koordinirani set. Svaki se proizvod prodaje zasebno ili kao deo grupe.;module;Magento_GroupedProduct
Remove;Uklonite;module;Magento_GroupedProduct
ID;ID;module;Magento_GroupedProduct
Thumbnail;Mala sličica;module;Magento_GroupedProduct
Name;Naziv;module;Magento_GroupedProduct
Attribute Set;Set atributa;module;Magento_GroupedProduct
Status;Status;module;Magento_GroupedProduct
SKU;SKU;module;Magento_GroupedProduct
Price;Cena;module;Magento_GroupedProduct
Default Quantity;Zadata količina;module;Magento_GroupedProduct
Actions;Radnje;module;Magento_GroupedProduct
Associated Products;Povezani proizvodi;module;Magento_GroupedProduct
Availability:;Dostupnost:;module;Magento_GroupedProduct
Out of stock;Nedostupno;module;Magento_GroupedProduct
Product Name;Naziv proizvoda;module;Magento_GroupedProduct
Qty;Količina;module;Magento_GroupedProduct
No options of this product are available.;Ne postoje mogućnosti za ovaj proizvod.;module;Magento_GroupedProduct
There are no grouped products.;Ne postoje grupisani proizvodi.;module;Magento_GroupedProduct
Default Qty;Zadata količina;module;Magento_GroupedProduct
Starting at;Počnite kod;module;Magento_GroupedProduct
Availability;Dostupnost;module;Magento_GroupedProduct
In stock;Dostupno;module;Magento_GroupedProduct
Grouped product items;Grupisani proizvodi;module;Magento_GroupedProduct
Export;Izvoz;module;Magento_ImportExport
Export Settings;Podešavanje izvoza;module;Magento_ImportExport
Entity Type;Vrsta subjekta;module;Magento_ImportExport
Export File Format;Izvezite format datoteke;module;Magento_ImportExport
From;Od;module;Magento_ImportExport
To;Za;module;Magento_ImportExport
We can't filter an attribute with no attribute options.;Nemogu se filtrirati atributi koji nemaju mogućnosti.;module;Magento_ImportExport
Exclude;Isključite;module;Magento_ImportExport
Attribute Label;Oznaka atributa;module;Magento_ImportExport
Attribute Code;Kod atributa;module;Magento_ImportExport
Filter;Filter;module;Magento_ImportExport
Unknown attribute filter type;Nepoznati atribut filtera;module;Magento_ImportExport
Download;Preuzmite;module;Magento_ImportExport
Check Data;Proverite podatke;module;Magento_ImportExport
Import;Unesite;module;Magento_ImportExport
Import Settings;Unesite podešavanja;module;Magento_ImportExport
Import Behavior;Unesite ponašanje;module;Magento_ImportExport
;;module;Magento_ImportExport
Allowed Errors Count;Dozvolite brojanje grešaka;module;Magento_ImportExport
Please specify number of errors to halt import process;Odredite broj grešaka pre nego se zaustavi uvoz obrade;module;Magento_ImportExport
Field separator;Polje separatora;module;Magento_ImportExport
Multiple value separator;Višestruka vrednost separator;module;Magento_ImportExport
File to Import;Datoteka za uvoz;module;Magento_ImportExport
Select File to Import;Odaberite datoteku za uvoz;module;Magento_ImportExport
Images File Directory;Direktorij slika;module;Magento_ImportExport
"For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir";"Za ""Lokalni server"" koristite putanju Magento instalacije, npr. var/export, var/import, var/export/some/dir";module;Magento_ImportExport
Download Sample File;Preuzmite primer datoteke;module;Magento_ImportExport
Please correct the data sent value.;Ispravite vrednost podataka za slanje;module;Magento_ImportExport
Import/Export;Uvoz/Izvoz;module;Magento_ImportExport
History;Istorija;module;Magento_ImportExport
Import History;Uvezite istoriju;module;Magento_ImportExport
Import history;Uvezite istoriju;module;Magento_ImportExport
There is no sample file for this entity.;Ne postoji primjer datoteke za ovaj subjekt.;module;Magento_ImportExport
Status;Status;module;Magento_ImportExport
Maximum error count has been reached or system error is occurred!;Dogodio se maksimalan broj grešaka ili je došlo do sistemske greške!;module;Magento_ImportExport
Import successfully done;Uspešno uvezeno;module;Magento_ImportExport
Sorry, but the data is invalid or the file is not uploaded.;Pogrešni podatak ili datoteka nije prenesena.;module;Magento_ImportExport
The file was not uploaded.;Datoteka nije prenesena.;module;Magento_ImportExport
This file is empty. Please try another one.;Datoteka je prazna. Pokušajte s nekom drugom.;module;Magento_ImportExport
Data validation failed. Please fix the following errors and upload the file again.;Neuspešna provera podataka. Ispravite greške i ponovno prenesite datoteku.;module;Magento_ImportExport
"File is valid! To start import process press ""Import"" button";"Datoteka je valjana! Kako bi započeli uvoz pritisnite ""Uvezite"" dugme";module;Magento_ImportExport
The file is valid, but we can't import it for some reason.;Datoteka je valjana, ali iz nepoznatog razloga ne možemo je uvesti.;module;Magento_ImportExport
Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4;Proveren red: %1, provereni subjekti: %2, pogrešni redovi: %3, ukupno grešaka: %4;module;Magento_ImportExport
Show more;Pokažite više;module;Magento_ImportExport
Additional data;Dodatni podaci;module;Magento_ImportExport
Following Error(s) has been occurred during importing process:;Dogodila se sljedeća greška/e tokom uvoza:;module;Magento_ImportExport
Only the first 100 errors are shown.;Prikazano je prvih 100 grešaka.;module;Magento_ImportExport
Download full report;Preuzmite puni izveštaj;module;Magento_ImportExport
in row(s):;u redu:;module;Magento_ImportExport
Make sure your file isn't more than %1M.;Pripazite da Vaša datoteka nije veća od %1M.;module;Magento_ImportExport
We can't provide the upload settings right now.;Nije moguće prikazati podešavanja preuzimanja.;module;Magento_ImportExport
Created: %1, Updated: %2, Deleted: %3;Stvoreno: %1, Ažurirano: %2, Uklonjeno: %3;module;Magento_ImportExport
Please enter a correct entity model.;Unesite tačan subjekt.;module;Magento_ImportExport
The entity adapter object must be an instance of %1 or %2.;Objekt entiteta adaptora mora biti instanca %1 or %2.;module;Magento_ImportExport
The input entity code is not equal to entity adapter code.;Unos koda subjetka nije jednak subjektu adapter code.;module;Magento_ImportExport
Please enter a correct entity.;Unesite tačan subjekt.;module;Magento_ImportExport
The adapter object must be an instance of %1.;Adapter object mora biti instanca od %1.;module;Magento_ImportExport
Please correct the file format.;Ispravite format datoteke.;module;Magento_ImportExport
Begin export of %1;Započnite izvoziti od %1;module;Magento_ImportExport
There is no data for the export.;Ne postoje podaci za izvoz.;module;Magento_ImportExport
Exported %1 rows.;Izvezeno %1 redova.;module;Magento_ImportExport
The export is finished.;Izvoz je završen.;module;Magento_ImportExport
Please provide filter data.;Omogućite filter podataka.;module;Magento_ImportExport
We can't determine the attribute filter type.;Nije moguće utvrditi atribut filtera.;module;Magento_ImportExport
Entity is unknown;Nepoznati subjekt;module;Magento_ImportExport
We can't identify this file format.;Nije moguće identifikovati foramt datoteke.;module;Magento_ImportExport
